iPhasePC GPS状态 GPS模式 GPS有效性 GPS经度 GPS纬度 GPS高度 GPS东速 GPS北速 GPS天速
  11708 01 60 5a 116.603151 40.141694 34.22 0.0113 0.0040 0.0109
  11748 01 60 5a 116.603151 40.141694 34.29 0.0109 -0.0240 -0.0341
  11788 01 60 5a 116.603151 40.141694 34.23 -0.0101 -0.0330 -0.0023
  11828 01 60 5a 116.603151 40.141694 34.27 -0.0145 -0.0207 0.0146
  11868 01 60 5a 116.603151 40.141694 34.30 0.0073 0.0008 0.0314
  11908 01 60 5a 116.603151 40.141694 34.32 0.0018 0.0105 0.0221
  11948 01 60 5a 116.603151 40.141694 34.28 0.0175 0.0234 0.0343
  11988 01 60 5a 116.603151 40.141695 34.05 0.0283 0.1076 0.0014
  12028 01 60 5a 116.603151 40.141695 34.06 0.0004 0.0026 0.0133
  12068 01 60 5a 116.603159 40.141711 35.19 -0.0138 0.0076 0.0075
  12108 01 60 5a 116.603160 40.141713 35.04 0.0138 0.0165 0.0374
  12148 01 60 5a 116.603160 40.141713 35.04 0.0039 -0.0093 0.0062
  12188 01 60 5a 116.603158 40.141709 35.39 0.0122 0.0013 -0.0319
  12228 01 60 5a 116.603158 40.141709 35.40 -0.0114 0.0032 0.0286
  12268 01 60 5a 116.603158 40.141709 35.39 -0.0016 0.0100 0.0083
  12308 01 60 5a 116.603151 40.141694 34.26 0.0034 -0.0105 -0.0353
  12348 01 60 5a 116.603151 40.141694 34.26 -0.0140 -0.0228 -0.0064
  12388 01 60 5a 116.603151 40.141694 34.27 0.0091 0.0011 -0.0127
  12428 01 60 5a 116.603151 40.141694 34.28 0.0024 -0.0041 0.0327
  12468 01 60 5a 116.603151 40.141694 34.29 -0.0134 -0.0224 -0.0030
  12508 01 60 5a 116.603151 40.141694 34.30 -0.0156 -0.0343 0.0001
  12548 01 60 5a 116.603151 40.141695 34.31 -0.0075 0.0047 -0.0202
  12588 01 60 5a 116.603151 40.141695 34.32 0.0008 -0.0096 -0.0159
  12628 01 60 5a 116.603151 40.141695 34.33 -0.0064 0.0105 0.0183
  12668 01 60 5a 116.603151 40.141695 34.34 0.0011 0.0054 -0.0107
  12708 01 60 5a 116.603151 40.141695 34.35 0.0030 0.0193 0.0023
  12748 01 60 5a 116.603151 40.141695 34.35 0.0145 0.0279 -0.0167
  12788 01 60 5a 116.603151 40.141695 34.36 0.0062 0.0109 0.0300
  12828 01 60 5a 116.603151 40.141695 34.37 -0.0121 -0.0122 0.0065
  12868 01 60 5a 116.603151 40.141695 34.38 -0.0206 -0.0267 0.0471
  12908 01 60 5a 116.603151 40.141695 34.38 0.0017 0.0068 0.0272
  12948 01 60 5a 116.603151 40.141695 34.39 -0.0117 -0.0067 0.0165
  12988 01 60 5a 116.603151 40.141695 34.39 -0.0025 -0.0193 -0.0386
  13028 01 60 5a 116.603151 40.141695 34.41 -0.0093 -0.0095 0.0496
  13068 01 60 5a 116.603151 40.141695 34.41 -0.0032 -0.0152 0.0656
  13108 01 60 5a 116.603151 40.141695 34.28 0.0126 0.0000 -0.0297
  13148 01 60 5a 116.603151 40.141695 34.29 0.0153 0.0441 0.0806
  13188 01 60 5a 116.603160 40.141713 35.10 -0.0165 -0.0130 0.0083
